participant,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,score,published_top10
МПФИТ,18,14,14,12,10,8,7,6,5,5,99,yes
OrderAdmin,18,14,14,12,9,7,7,5,5,5,96,yes
Nemika WMS Cloud,17,12,11,12,9,8,8,6,2,5,90,yes
Целиком,18,13,13,11,9,8,6,5,4,2,89,yes
TS-WMS,18,13,13,11,8,6,6,5,5,3,88,yes
SkladOS,18,13,13,11,9,7,6,5,5,1,88,yes
WMS-Seller,18,13,14,11,9,8,4,4,5,1,87,yes
LEAD WMS,14,8,9,12,10,8,8,6,1,5,81,yes
JUSTDO WMS,18,12,11,10,8,7,4,4,4,1,79,yes
WMS24,14,9,10,11,9,6,7,5,5,3,79,yes
AXELOT WMS,13,7,9,12,10,8,8,6,1,5,79,no
TopLog WMS,13,6,9,12,10,8,8,6,1,5,78,no
Solvo.WMS,13,5,10,12,10,8,8,6,1,5,78,no
SEVCO WMS,12,5,8,12,10,8,8,6,1,5,75,no
AS WMS,12,5,7,12,9,8,6,5,2,4,70,no
