source_id,participant,class,title,url,used_for,note
S001,ALL,prior_publication,Sostav: ТОП-10 WMS для фулфилмент-операторов и складов селлеров,https://www.sostav.ru/blogs/292167/97419,provenance,"Публичный исходный рейтинг 22 июля 2026 года; зафиксированы research question, 10 критериев и веса."
S002,ALL,related_publication,Sostav: ТОП-10 WMS для мультиклиентского фулфилмента,https://www.sostav.ru/blogs/292167/106448,context,"Отдельный более узкий сценарий от 5 сентября 2026 года; не используется как scoring model текущего выпуска."
S003,МПФИТ,official,WMS для фулфилмента маркетплейсов,https://mpfit.ru/product/programma-dlya-fulfilmenta-marketpleysov/,C1;C2;C3;C4;C5;C6,"FBO/FBS, единый сток, ТСД, Честный знак, счета селлерам, автоматические правила."
S004,МПФИТ,official,Тарифы МПФИТ,https://mpfit.ru/pricing/,C3;C8;C9,"Публичные тарифы от 9 990 и 24 990 руб.; кабинет клиента, прайс, счета, документы."
S005,МПФИТ,official,МПФИТ главная,https://mpfit.ru/,C1;C2;C4;C5;C7,"30+ интеграций, нативное ТСД, единый сток, автоматические правила."
S006,МПФИТ,official,Сборка заказов FBS,https://mpfit.ru/product/fbs/,C2;C5;C6,"WB, Ozon, Яндекс Маркет, ТСД, КИЗ и единый остаток."
S007,МПФИТ,client_case,WMS МПФИТ в Преп-Центре,https://prep-center.ru/wms-mpfit-dlya-fulfillmenta/,C4;C7;C10,"Реальное применение на складе 1560 м², FBO/FBS, КИЗ, биллинг и партии клиентов."
S008,МПФИТ,external,ECOM Expo 2024 exhibitor archive,https://expo.oborot.ru/archive/2024/exhibitor.html,C10,"МПФИТ представлен как WMS для фулфилментов и селлеров."
S009,OrderAdmin,official,E-Commerce WMS OrderAdmin,https://www.orderadmin.ru/,C1;C2;C3;C4;C5;C7;C8;C9;C10,"Фулфилмент, prep-центры, биллинг, клиентский кабинет, FBO/FBS/DBS, тарифы, демо и клиентские показатели."
S010,Nemika WMS Cloud,official,Nemika WMS для фулфилмента и 3PL,https://nemikasoft.ru/wms/fulfilment,C1;C3;C4;C5;C7;C8,"Облачная WMS специально для фулфилмента и 3PL; внедрение от 5 дней."
S011,Nemika WMS Cloud,official,Nemika WMS,https://nemikasoft.ru/wms,C4;C6;C7,"Полный складской цикл, 3PL и мультисклад."
S012,Nemika WMS Cloud,external,Nemika WMS в каталоге Bitrix24,https://www.bitrix24.ru/apps/app/nemika.nemika_wms/,C10,"Независимый профиль интеграции WMS с CRM."
S013,Целиком,official,WMS и ERP Целиком для фулфилмента,https://wmscelicom.ru/,C1;C2;C3;C4;C5;C6;C7;C8;C9,"FBO/FBS, Честный знак, клиентские счета, кабинет, ТСД, тарифы и география внедрений."
S014,TS-WMS,official,WMS для фулфилмент-оператора,https://www.ts-wms.ru/fulfilment,C1;C2;C3;C4;C5;C6;C8,"Фулфилмент, FBO/FBS, кабинет, тарификация, сотрудники, партии и сроки годности."
S015,TS-WMS,official,Тарифы TS-WMS,https://www.ts-wms.ru/tariffs,C8;C9,"Публичные тарифы для селлеров и фулфилмент-операторов; тест 14 дней."
S016,TS-WMS,official,Кейсы TS-WMS,https://www.ts-wms.ru/clients,C7;C10,"Fulfillment Ural, Wisebridge, NIKOFF и другие реальные внедрения."
S017,SkladOS,official,SkladOS облачная WMS для фулфилмента,https://sklados.pro/,C1;C2;C3;C4;C5;C7;C8;C9,"FBO/FBS/DBS, кабинет, тарификация, ТСД, интеграции и тарифы 19 990–59 990 руб."
S018,WMS-Seller,official,WMS-Seller главная,https://wms-seller.ru/,C1;C2;C3;C4;C5;C6;C9,"FBO/FBS/DBS, КИЗ, ТСД, кабинет селлера, биллинг, 11 990 руб."
S019,WMS-Seller,official,Биллинг WMS-Seller,https://wms-seller.ru/features/billing,C3,"Каталог услуг, индивидуальные тарифы и расчет хранения."
S020,WMS-Seller,official,Честный знак WMS-Seller,https://wms-seller.ru/features/kiz,C5;C6,"Data Matrix, привязка к экземпляру, агрегация и короба."
S021,WMS-Seller,official,Тарифы WMS-Seller,https://wms-seller.ru/pricing,C9,"Публичный тариф WMS для фулфилмента."
S022,LEAD WMS,official,LEAD WMS,https://leadwms.ru/lead-wms,C4;C5;C6;C7;C8;C10,"3PL/e-com, 500+ складов, 20 лет, до 5 млн строк отгрузки в сутки."
S023,JUSTDO WMS,official,JUSTDO WMS,https://wms.justdo-service.ru/,C1;C2;C3;C4;C5;C8,"WMS для фулфилмента, расчеты, клиентский кабинет, интеграции и API."
S024,WMS24,official,Тарифы WMS24,https://wms24.ru/tariffs,C3;C4;C5;C7;C8;C9,"3PL, личный кабинет, API, маркетплейс-коннекторы и тарифы 5 900–45 000 руб."
S025,AXELOT WMS,official,AXELOT WMS X5,https://www.axelot.ru/product/axelot-wms-x5/,C3;C4;C5;C6;C7;C8,"3PL, биллинг, рабочее место поклажедателя, мобильный клиент и складской цикл."
S026,AXELOT WMS,official,Функциональность AXELOT WMS X5,https://www.axelot.ru/product/axelot-wms-x5/functionality/,C3;C4;C6,"Раздельный учет поклажедателей и тарификатор услуг."
S027,AXELOT WMS,case,Онлайнбрендс: AXELOT WMS Cloud,https://www.axelot.ru/project/3pl-operator-onlajnbrends-vnedril-axelot-wms-x5-po-modeli-axelot-cloud/,C7;C10,"Реальный 3PL-кейс с биллингом и учетом поклажедателей."
S028,TopLog WMS,case,TopLog WMS на фулфилмент-складах Почты России,https://www.toplogwms.ru/projects/fulfilment/pochta-rossii/,C1;C3;C4;C5;C7;C10,"4 фулфилмент-центра, биллинг, API, до 160 тыс. заказов в сутки."
S029,TopLog WMS,official,TopLog Portal,https://www.toplogwms.ru/portal/,C3;C8,"Портал контрагента для 3PL и фулфилмента."
S030,TopLog WMS,case,Деловые линии: TopLog WMS,https://www.toplogwms.ru/projects/kommercheskaya-logistika/delovye-linii/,C3;C10,"Биллинг услуг по каждому поклажедателю."
S031,TopLog WMS,official,Проекты TopLog WMS,https://www.toplogwms.ru/projects/,C7;C10,"200+ масштабных проектов; отдельные категории 3PL и фулфилмента."
S032,Solvo.WMS,official,Solvo.WMS для 3PL,https://www.solvo.ru/products/solvo-wms/dlya-skladov-otvetstvennogo-hraneniya/,C3;C4;C5;C6;C7;C8;C10,"Мультиклиентность, Solvo.Billing, WEB-клиент, серийный и партионный учет."
S033,Solvo.WMS,official,Solvo.Billing,https://www.solvo.ru/products/solvo-billing/,C3,"Тарификация операций, договоры, счета и WEB-портал."
S034,Solvo.WMS,official,Solvo.WMS,https://www.solvo.ru/products/solvo-wms/,C4;C5;C6;C7;C8,"Полный складской цикл, Честный знак, 500 тыс. строк заказов в сутки, 500+ пользователей."
S035,Solvo.WMS,official,Внедрение Solvo.WMS,https://www.solvo.ru/industry-expertise/vnedrenie-wms-sistemy-sklada/,C7;C10,"Более 350 складов в России и за рубежом."
S036,SEVCO WMS,external,SEVCO WMS на CeMAT Russia 2026,https://www.cemat-russia.ru/news/avtomatizatsiya-sklada-ot-mifov-k-realnosti-/,C4;C6;C7;C10,"Промышленная WMS, e-commerce и ответственное хранение, маркировка."
S037,SEVCO WMS,external,SEVCO WMS в каталоге CeMAT Russia 2026,https://www.cemat-russia.ru/exhibition/catalogue/company/28193/,C7;C8;C10,"Команда, промышленная специализация и реальная эксплуатация собственного склада."
S038,AS WMS,official,AS WMS,https://aswms.ru/aswms,C4;C5;C6;C8,"1С, полный складской цикл, фулфилмент, ответственное хранение, Честный знак, партии и сроки."
