criterion_id,max_points,score_band,anchor
C1,18,0–4,Полноценная применимость к фулфилменту и e-commerce не подтверждена.
C1,18,5–9,Есть e-commerce или 3PL сценарии но продукт в основном универсальный.
C1,18,10–14,Фулфилмент и e-commerce являются заметным целевым сценарием продукта.
C1,18,15–18,Продукт прямо специализирован под фулфилмент селлеров prep-центры и marketplace-склады.
C2,14,0–3,Интеграции с маркетплейсами и единый остаток почти не подтверждены.
C2,14,4–7,Есть API или отдельные интеграции но сквозная FBO/FBS логика ограничена.
C2,14,8–11,Подтверждены несколько маркетплейсов и FBO/FBS либо развитый e-commerce обмен.
C2,14,12–14,Подтверждены FBO/FBS интеграции с основными маркетплейсами и развитая работа с единым остатком или резервами.
C3,14,0–3,Кабинет внешнего клиента и автоматический биллинг не подтверждены.
C3,14,4–7,Есть 3PL учет или кабинет либо тарификация услуг но не полный seller-facing контур.
C3,14,8–11,Подтверждены клиентский доступ и тарификация значимой части операций.
C3,14,12–14,Подтверждены полноценный кабинет клиента и биллинг операций услуг хранения и документов.
C4,12,0–3,Подтверждены отдельные складские операции.
C4,12,4–7,Закрывается основная часть склада но есть пробелы в публичной функциональности.
C4,12,8–10,Подтверждены приемка хранение отбор упаковка инвентаризация и отгрузка.
C4,12,11–12,Полный складской цикл подтвержден подробно и рассчитан на регулярную эксплуатацию.
C5,10,0–2,ТСД штрихкоды и контроль ошибок почти не подтверждены.
C5,10,3–5,Есть сканирование или мобильная работа без глубокой операционной логики.
C5,10,6–8,ТСД и скан-контроль встроены в несколько ключевых операций.
C5,10,9–10,ТСД штрихкоды маршруты и контроль ошибок системно встроены в складской цикл.
C6,8,0–2,Сложный учет маркировка партии сроки годности или комплекты почти не подтверждены.
C6,8,3–5,Подтверждены отдельные сложные сценарии учета.
C6,8,6–7,Подтверждены несколько сценариев: маркировка партии серии сроки годности комплекты.
C6,8,8,Широкий сложный учет подтвержден как штатная часть продукта.
C7,8,0–2,Масштабирование на несколько складов крупные объемы или сложную инфраструктуру не подтверждено.
C7,8,3–5,Подтвержден рост до среднего склада или нескольких площадок.
C7,8,6–7,Есть крупные внедрения мультисклад высокие объемы или развитая инфраструктура.
C7,8,8,Подтвержден промышленный масштаб и сложные многоплощадочные внедрения.
C8,6,0–1,Внедрение обучение и поддержка раскрыты слабо.
C8,6,2–3,Есть базовая поддержка и документация.
C8,6,4–5,Есть понятная схема запуска поддержка обучение или выделенный менеджер.
C8,6,6,Подтверждены развитое внедрение сопровождение и поддержка крупных или сложных проектов.
C9,5,0–1,Цена не раскрыта или только по запросу без ориентиров.
C9,5,2–3,Есть частичный ориентир или лицензионная логика без полной стоимости.
C9,5,4,Опубликованы основные тарифы но есть существенные дополнительные условия.
C9,5,5,Опубликованы понятные тарифы и базовые лимиты позволяющие оценить стартовую стоимость.
C10,5,0–1,Есть только собственное описание продукта без заметных проверяемых внедрений.
C10,5,2–3,Есть отдельные кейсы отзывы или внешние упоминания.
C10,5,4,Есть несколько проверяемых внедрений или сильные независимые подтверждения.
C10,5,5,Есть развитый корпус реальных внедрений и внешних подтверждений по релевантному сценарию.
