claim_id,participant,claim,source_ids,confidence
F001,ALL,"Исходный рейтинг 22 июля 2026 года публиковал 10 критериев и веса общей суммой 100.",S001,high
F002,ALL,"IndexResearch сохранил исходные критерии и веса, но заново закодировал всех 15 кандидатов на срез 18 сентября 2026 года.",S001;S003;S009;S010;S013;S014;S017;S018;S022;S023;S024;S025;S028;S032;S036;S038,high
F003,МПФИТ,"МПФИТ прямо позиционируется как WMS для фулфилмента и поддерживает FBO/FBS, единый сток, ТСД, Честный знак и биллинг услуг.",S003;S005;S006,high
F004,МПФИТ,"На тарифе Старт доступны кабинет клиента, прайс, счета и документы; публичная цена начинается от 24 990 руб. в месяц.",S004,high
F005,МПФИТ,"МПФИТ используется в реальной работе Преп-Центра на складе 1560 м² для FBO/FBS, маркировки, операций и расчетов.",S007,high
F006,OrderAdmin,"OrderAdmin предназначен для складов ретейлеров, фулфилмент-операторов и prep-центров.",S009,high
F007,OrderAdmin,"OrderAdmin подтверждает биллинг, брендируемый личный кабинет и полные интеграции FBO/FBS/DBS с основными маркетплейсами.",S009,high
F008,OrderAdmin,"Публичный тариф Фулфилмент составляет 69 900 руб. в месяц; есть 14-дневный демопериод.",S009,high
F009,Nemika WMS Cloud,"Nemika WMS Cloud позиционируется как облачная WMS для фулфилмент-центров и 3PL.",S010;S011,high
F010,Целиком,"Целиком публикует FBO/FBS, ТСД, Честный знак, клиентские счета, личный кабинет и тарифы.",S013,high
F011,TS-WMS,"TS-WMS специально разработана для фулфилмента и подтверждает FBO/FBS, кабинет клиента, тарификацию, партии и сроки годности.",S014,high
F012,TS-WMS,"TS-WMS публикует отдельные тарифы для фулфилмент-операторов и 14-дневный тест.",S015,high
F013,TS-WMS,"На странице клиентов опубликованы кейсы фулфилментов с измеримым ростом производительности.",S016,medium
F014,SkladOS,"SkladOS публикует FBO/FBS/DBS, кабинет пользователя, тарифизацию, приложение ТСД и фиксированные тарифы.",S017,high
F015,WMS-Seller,"WMS-Seller публикует полный складской цикл, FBO/FBS/DBS, КИЗ, кабинет селлера и биллинг.",S018;S019;S020,high
F016,WMS-Seller,"Тариф WMS для фулфилмента опубликован как 11 990 руб. в месяц.",S021,high
F017,LEAD WMS,"LEAD WMS ориентирована в том числе на 3PL и e-com, заявляет 500+ автоматизированных складов и высокую промышленную производительность.",S022,high
F018,JUSTDO WMS,"JUSTDO WMS позиционируется как единая платформа для фулфилмента со складом, расчетами, клиентским кабинетом и интеграциями.",S023,high
F019,WMS24,"WMS24 публикует 3PL, клиентский кабинет, API, маркетплейс-коннекторы и тарифы от 5 900 руб.",S024,high
F020,AXELOT WMS,"AXELOT WMS X5 поддерживает 3PL, биллинг складских услуг, раздельный учет поклажедателей и специализированное рабочее место клиента.",S025;S026,high
F021,AXELOT WMS,"Есть публичный 3PL-кейс Onlinebrands с облачной моделью и биллингом разных поклажедателей.",S027,high
F022,TopLog WMS,"TopLog WMS внедрена на сети фулфилмент-центров Почты России с биллингом, API и высокой нагрузкой.",S028,high
F023,TopLog WMS,"TopLog Portal поддерживает 3PL и фулфилмент и дает контрагентам работу через веб-интерфейс.",S029,high
F024,Solvo.WMS,"Solvo.WMS для 3PL поддерживает товары нескольких владельцев, тарификацию, Solvo.Billing и WEB-доступ клиентов.",S032;S033,high
F025,Solvo.WMS,"Solvo.WMS подтверждает промышленный масштаб и более 350 внедренных складов.",S034;S035,high
F026,SEVCO WMS,"SEVCO WMS позиционируется как промышленная WMS для e-commerce и складов ответственного хранения и поддерживает маркировку.",S036;S037,high
F027,AS WMS,"AS WMS подтверждает полный складской цикл в 1С, фулфилмент, Честный знак, партии, серии и сроки годности.",S038,high
F028,ALL,"Market recall изменил состав ТОП-10: в него вошли Целиком, SkladOS и WMS-Seller.",S013;S017;S018,high
F029,ALL,"Крупные корпоративные WMS могут быть сильнее по промышленной автоматизации, даже если ниже в сценарном рейтинге фулфилмента.",S022;S025;S028;S032;S036,high
F030,ALL,"AI-видимость не входит в scoring model этого исследования.",S001,high
F031,ALL,"Цена имеет вес 5 из 100 и не может компенсировать отсутствие складской или e-commerce функциональности.",S001,high
F032,ALL,"Результат относится к фулфилменту, 3PL и складу селлера, а не к универсальной мощности WMS для любого склада.",S001;S002,high
