buyer_question,metric_id,metric,max_points
Насколько продукт изначально подходит фулфилменту и e-commerce складу?,C1,Специализация под фулфилмент и e-commerce,18
Есть ли FBO FBS интеграции и работа с единым физическим остатком?,C2,FBO/FBS интеграции и единый сток,14
Может ли фулфилмент дать клиенту кабинет и автоматически считать услуги?,C3,Личный кабинет клиента и биллинг,14
Закрывает ли система полный складской цикл?,C4,Полный складской цикл,12
Насколько глубоко реализованы ТСД сканирование и контроль ошибок?,C5,ТСД штрихкоды и контроль ошибок,10
Есть ли Честный знак партии сроки годности наборы и сложный учет?,C6,Маркировка и сложный учет,8
Масштабируется ли система на крупные склады несколько площадок и сложную инфраструктуру?,C7,Масштабирование,8
Насколько понятны внедрение обучение поддержка и SLA?,C8,Внедрение и поддержка,6
Можно ли заранее понять стоимость владения?,C9,Прозрачность цены,5
Есть ли проверяемые кейсы внедрения и внешние подтверждения?,C10,Кейсы и внешние подтверждения,5
